scheme,group,view,seed,lowpass_hz,permuted,n_test,chance,balanced_accuracy,macro_f1,ece,nll,classes_present
cross_lab_ibl_to_allen,719161530_probeA,4class,0,0.0,True,5200,0.3333333333333333,0.3333333333333333,0.125,0.062412393162281254,1.2963341843642473,CA1|DG|VIS
cross_lab_ibl_to_allen,719161530_probeA,5class,0,0.0,True,5200,0.3333333333333333,0.3333333333333333,0.125,0.062412393162281254,1.2963341843642473,CA1|DG|VIS
cross_lab_ibl_to_allen,719161530_probeB,4class,0,0.0,True,5400,0.3333333333333333,0.3333333333333333,0.1372549019607843,0.033935279073732616,1.2934047732455747,CA1|DG|VIS
cross_lab_ibl_to_allen,719161530_probeB,5class,0,0.0,True,5400,0.3333333333333333,0.3333333333333333,0.1372549019607843,0.033935279073732616,1.2934047732455747,CA1|DG|VIS
cross_lab_ibl_to_allen,719161530_probeC,4class,0,0.0,True,2900,0.5,0.5,0.19444444444444445,0.05184384695430164,1.3024027950803243,DG|VIS
cross_lab_ibl_to_allen,719161530_probeC,5class,0,0.0,True,2900,0.5,0.5,0.19444444444444445,0.05184384695430164,1.3024027950803243,DG|VIS
cross_lab_ibl_to_allen,719161530_probeF,4class,0,0.0,True,4100,0.3333333333333333,0.3333333333333333,0.05925925925925926,0.19563362499816692,1.3076301767234002,CA1|DG|VIS
cross_lab_ibl_to_allen,719161530_probeF,5class,0,0.0,True,4100,0.3333333333333333,0.3333333333333333,0.05925925925925926,0.19563362499816692,1.3076301767234002,CA1|DG|VIS
cross_lab_ibl_to_allen,798911424_probeA,4class,0,0.0,True,5300,0.3333333333333333,0.3333333333333333,0.10582010582010581,0.10452006938716413,1.299870529109418,CA1|DG|VIS
cross_lab_ibl_to_allen,798911424_probeA,5class,0,0.0,True,5300,0.3333333333333333,0.3333333333333333,0.10582010582010581,0.10452006938716413,1.299870529109418,CA1|DG|VIS
cross_lab_ibl_to_allen,798911424_probeB,4class,0,0.0,True,5700,0.3333333333333333,0.3333333333333333,0.15315315315315317,0.005106205227749072,1.2899682567822506,CA1|DG|VIS
cross_lab_ibl_to_allen,798911424_probeB,5class,0,0.0,True,5700,0.3333333333333333,0.3333333333333333,0.15315315315315317,0.005106205227749072,1.2899682567822506,CA1|DG|VIS
cross_lab_ibl_to_allen,798911424_probeC,4class,0,0.0,True,3800,0.5,0.5,0.2830188679245283,0.1015724338476518,1.2873069035598679,DG|VIS
cross_lab_ibl_to_allen,798911424_probeC,5class,0,0.0,True,3800,0.5,0.5,0.2830188679245283,0.1015724338476518,1.2873069035598679,DG|VIS
cross_lab_ibl_to_allen,798911424_probeD,4class,0,0.0,True,5500,0.3333333333333333,0.0,0.0,0.29321064831841426,1.357805748883955,CA1|CA3|VIS
cross_lab_ibl_to_allen,798911424_probeD,5class,0,0.0,True,5700,0.25,0.0,0.0,0.2932090525468764,1.523478685360346,CA1|CA2|CA3|VIS
cross_lab_ibl_to_allen,798911424_probeE,4class,0,0.0,True,6200,0.3333333333333333,0.0,0.0,0.29316075680042164,1.4597242259922478,CA1|CA3|VIS
cross_lab_ibl_to_allen,798911424_probeE,5class,0,0.0,True,6400,0.25,0.0,0.0,0.2931580533385138,1.6041302153808328,CA1|CA2|CA3|VIS
cross_lab_ibl_to_allen,798911424_probeF,4class,0,0.0,True,5700,0.25,0.25,0.06153846153846154,0.15283477287773983,1.3786793121836014,CA1|CA3|DG|VIS
cross_lab_ibl_to_allen,798911424_probeF,5class,0,0.0,True,5700,0.25,0.25,0.06153846153846154,0.15283477287773983,1.3786793121836014,CA1|CA3|DG|VIS
