key,group,channel,depth_um,temporal,spatial,label
d2832a38_probe00::182,d2832a38_probe00,182,1840.0,3,3,3
d2832a38_probe00::183,d2832a38_probe00,183,1840.0,3,3,3
d2832a38_probe00::184,d2832a38_probe00,184,1860.0,3,3,3
d2832a38_probe00::185,d2832a38_probe00,185,1860.0,3,3,3
d2832a38_probe00::186,d2832a38_probe00,186,1880.0,3,3,3
d2832a38_probe00::187,d2832a38_probe00,187,1880.0,3,3,3
d2832a38_probe00::188,d2832a38_probe00,188,1900.0,3,3,3
d2832a38_probe00::189,d2832a38_probe00,189,1900.0,3,3,3
d2832a38_probe00::190,d2832a38_probe00,190,1920.0,3,3,3
d2832a38_probe00::192,d2832a38_probe00,192,1940.0,3,3,3
d2832a38_probe00::193,d2832a38_probe00,193,1940.0,3,3,3
d2832a38_probe00::194,d2832a38_probe00,194,1960.0,3,3,3
d2832a38_probe00::195,d2832a38_probe00,195,1960.0,3,3,3
d2832a38_probe00::196,d2832a38_probe00,196,1980.0,3,3,3
d2832a38_probe00::197,d2832a38_probe00,197,1980.0,3,3,3
d2832a38_probe00::198,d2832a38_probe00,198,2000.0,3,3,3
d2832a38_probe00::199,d2832a38_probe00,199,2000.0,3,3,3
d2832a38_probe00::200,d2832a38_probe00,200,2020.0,3,3,2
d2832a38_probe00::201,d2832a38_probe00,201,2020.0,3,3,2
d2832a38_probe00::202,d2832a38_probe00,202,2040.0,3,3,2
d2832a38_probe00::203,d2832a38_probe00,203,2040.0,3,3,2
d2832a38_probe00::204,d2832a38_probe00,204,2060.0,3,3,2
d2832a38_probe00::205,d2832a38_probe00,205,2060.0,3,3,2
d2832a38_probe00::206,d2832a38_probe00,206,2080.0,3,3,2
d2832a38_probe00::207,d2832a38_probe00,207,2080.0,3,3,2
d2832a38_probe00::208,d2832a38_probe00,208,2100.0,3,3,2
d2832a38_probe00::209,d2832a38_probe00,209,2100.0,3,3,2
d2832a38_probe00::210,d2832a38_probe00,210,2120.0,3,3,3
d2832a38_probe00::211,d2832a38_probe00,211,2120.0,3,3,3
d2832a38_probe00::212,d2832a38_probe00,212,2140.0,3,3,3
d2832a38_probe00::213,d2832a38_probe00,213,2140.0,3,3,3
d2832a38_probe00::214,d2832a38_probe00,214,2160.0,3,3,3
d2832a38_probe00::215,d2832a38_probe00,215,2160.0,3,3,3
d2832a38_probe00::216,d2832a38_probe00,216,2180.0,3,3,3
